pathway	pval	padj	log2err	ES	NES	size	leadingEdge
1221633_Meiotic_Synapsis	0.551666666666667	0.731904068934698	0.0649407684612899	0.288575385185038	0.930751830311738	27	15270 12189 71846 19357
1445146_Translocation_of_Glut4_to_the_Plasma_Membrane	0.704	0.855923310360475	0.051530912208539	0.238728383748997	0.850719998115041	39	17918 19341 20336 22628 22627 20619 16579 16568 11651 12315 12314 11465 53413 107371 12313
442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes	0.0927318295739348	0.241543653553855	0.234392647294686	-0.364070576725193	-1.33431949585426	31	76199 19014 26896 229003 17977 17978 12537 70208 67381 59024 327987 20602
508751_Circadian_Clock	0.822898032200358	0.914628048581028	0.0494904866135495	0.25163243604723	0.722668772828682	17	20893 59027 19883
5334727_Mus_musculus_biological_processes	0.388321167883212	0.588000528112563	0.0758886900606117	0.24690651474541	1.04687204015533	106	60406 19361 15270 20893 12189 68240 71846 20018 192191 12567 19891 59027 19357
573389_NoRC_negatively_regulates_rRNA_expression	0.434704830053667	0.631204439125231	0.0806388495950661	0.360740748757059	1.03601935548815	17	60406 20018 245688 20017
5990976_Assembly_of_the_pre-replicative_complex	0.00014654322244696	0.00159026533988738	0.518848077743792	0.559431315871011	2.07517092692076	49	57441 17219 17215 23834 56452 66634 17216 17218 17463 26440 26444 19179 228769 26445 57296 19170 17220 50793 18392 67151 26442 19177
5990977_DNA_Replication_Pre-Initiation	1.96725116005914e-06	3.4933611508929e-05	0.627256739718528	0.578846390178478	2.25642184321559	63	57441 17219 17215 68240 18968 23834 56452 66634 19891 17216 17218 18973 17463 19075 19076 12544 26440 26444 19179 228769 26445 57296 19170 17220 50793 18392 67151 70024 26442 19177
5990978_M_G1_Transition	1.96725116005914e-06	3.4933611508929e-05	0.627256739718528	0.578846390178478	2.25642184321559	63	57441 17219 17215 68240 18968 23834 56452 66634 19891 17216 17218 18973 17463 19075 19076 12544 26440 26444 19179 228769 26445 57296 19170 17220 50793 18392 67151 70024 26442 19177
5990979_Cell_Cycle,_Mitotic	2.28432502565303e-26	6.69307232516337e-24	1.33449749081658	0.559475493154342	2.73687982868761	317	66336 66977 12442 107995 66442 12571 52276 54392 215387 67629 72415 56150 57441 20877 67121 12615 21973 11799 66468 20135 67849 73804 70454 76044 20878 13555 60411 12580 17219 69270 12575 69263 12448 14211 20873 18005 71988 17215 12534 208628 22390 68240 228421 68014 19348 12236 72151 18817 21781 18968 66934 272551 227613 67141 68612 68298 13361 108000 23834 106344 56452 242705 18141 223921 26886 13557 268697 72155 56371 12531 327762 12567 229841 67052 16319 66634 67203 17865 12235 19891 74470 381318 66570 17216 19687 17218 102920 18973 16881 17463 75786 19645 19075 69736 19357 76816 70385 22628 22627 52683 19076 18972 12544 17997 26440 68549 19088 269113 26444 19324 103733 19179 12579 232987 17420 228769 26445 105988 69745 18538 69928 57296 14235 22171 19170 17220 50793 18392 236930 67151 70024 59126 66296 109145 71819 67733 12447 12532 14156 26442 19177
5990980_Cell_Cycle	1.03940940937573e-26	6.09093913894179e-24	1.34223377296446	0.538849686537971	2.67523861414594	369	66336 66977 12442 107995 66442 19361 12571 52276 54392 66311 215387 67629 12649 72415 56150 57441 20877 67121 12615 21973 11799 66468 20135 67849 73804 70454 76044 20878 15270 13555 60411 12580 17219 69270 12575 69263 12448 14211 20873 18005 71988 12189 17215 12534 208628 22390 68240 228421 71846 68014 269582 19348 12236 72151 18817 21781 18968 217653 66934 272551 227613 67141 68612 68298 13361 108000 23834 106344 56452 242705 18141 223921 26886 13557 268697 72155 56371 12531 327762 12567 229841 67052 16319 66634 67203 17865 12235 19891 74470 381318 66570 17216 19687 17218 102920 18973 16881 17463 75786 19645 19075 69736 19357 76816 70385 70645 22628 22627 52683 19076 18972 12544 17997 26440 68549 19088 269113 26444 19324 103733 19179 12579 232987 17420 228769 26445 105988 69745 18538 69928 57296 14235 22171 19170 17246 17220 12144 50793 18392 236930 67151 70024 59126 66296 16906 109145 71819 67733 50883 12447 12532 14156 26442 19177 245688
5990981_DNA_Replication	6.31128122987785e-12	3.36219163700765e-10	0.887074988399873	0.644000596613712	2.61611935124065	82	57441 17219 69270 12575 69263 17215 68240 72151 18968 272551 23834 106344 56452 56371 327762 66634 19891 17216 19687 17218 18973 16881 17463 19645 19075 19076 18972 12544 26440 26444 19179 228769 26445 69745 18538 57296 19170 17220 50793 18392 67151 70024 109145 14156 26442 19177 18971 19718
5990983_Regulation_of_DNA_replication	1.61426334587239e-06	3.05147845381038e-05	0.643551836150722	0.593855727255551	2.25912053604057	54	57441 17219 12575 17215 23834 56452 56371 66634 17216 17218 17463 19645 26440 26444 19179 228769 26445 57296 19170 17220 50793 18392 67151 70024 26442 19177
5990985_CDT1_association_with_the_CDC6:ORC:origin_complex	0.00339098094299213	0.0204857199236431	0.431707695803346	0.489498579909506	1.77877809209059	43	57441 23834 56452 66634 17463 26440 26444 19179 228769 26445 57296 19170 50793 18392 67151 26442 19177 23996 19192 22190 19172 23997
5990987_Synthesis_of_DNA	1.125084375029e-11	5.4941620313916e-10	0.875325132024659	0.647855512486377	2.59188723139422	78	17219 69270 12575 69263 17215 68240 72151 18968 272551 23834 106344 56452 56371 327762 66634 19891 17216 19687 17218 18973 16881 17463 19645 19075 19076 18972 12544 26440 26444 19179 228769 26445 69745 18538 57296 19170 17220 50793 18392 67151 109145 14156 26442 19177 18971 19718
5990988_S_Phase	3.54515398007892e-11	1.59804633255865e-09	0.851339057116899	0.601309234717173	2.5268092813585	98	67849 17219 69270 12575 69263 71988 17215 22390 68240 72151 18968 272551 23834 106344 56452 56371 327762 12567 66634 19891 17216 19687 17218 18973 16881 17463 19645 19075 19357 19076 18972 12544 26440 26444 19179 17420 228769 26445 69745 18538 57296 19170 17220 50793 18392 67151 109145 14156 26442 19177 18971 66671 19718
